site_id,PM25,n_observed_days,longitude,latitude,PPTN,Tmin,Tmax,WS,RH,TCDC,sample_status
18-089-0006,11.744000000000002,25,-87.442017,41.635952,58.85305953555637,-6.449110333124796,1.3349999904632568,3.693255392710368,86.28275502522787,58.0555539449056,public_source_reconstruction_pending_author_sample_comparison
18-089-0022,14.320512820512821,78,-87.304943,41.606662,55.80083232455783,-6.208889174461365,1.3777777473131816,3.67653325398763,86.28275502522787,58.0555539449056,public_source_reconstruction_pending_author_sample_comparison
18-089-0026,13.604938271604938,81,-87.406579,41.573282,57.89666801028781,-6.395666808552212,1.3571112208896212,3.6877509329054092,86.28275502522787,58.0555539449056,public_source_reconstruction_pending_author_sample_comparison
18-089-0027,11.91851851851852,27,-87.426481,41.546593,58.59666758643256,-6.5902222712834675,1.2914445373747083,3.67847634156545,86.28275502522787,58.0555539449056,public_source_reconstruction_pending_author_sample_comparison
18-089-0031,12.226785714285713,28,-87.342947,41.598473,56.87777824401856,-6.32844520409902,1.3717779914538066,3.6821567535400392,86.28275502522787,58.0555539449056,public_source_reconstruction_pending_author_sample_comparison
18-089-2004,12.067441860465117,86,-87.475543,41.586386,58.85305953555637,-6.449110333124796,1.3349999904632568,3.693255392710368,86.28275502522787,54.57638846503364,public_source_reconstruction_pending_author_sample_comparison
18-089-2010,12.734615384615385,26,-87.508345,41.678349,55.69833388858371,-6.365667462348938,1.3902220646540324,3.709839942720201,86.28275502522787,54.57638846503364,public_source_reconstruction_pending_author_sample_comparison
18-091-0011,11.14074074074074,27,-86.891216,41.707212,55.726946682400175,-5.97799977991316,1.359999832842085,3.6509870608647663,87.47485860188802,63.32500063578288,public_source_reconstruction_pending_author_sample_comparison
18-095-0011,12.330113636363636,88,-85.652184,40.125703,104.93083737691244,-5.584777931372325,2.536000045140584,3.5402799712287054,85.91991034613716,56.3027778201633,public_source_reconstruction_pending_author_sample_comparison
18-097-0043,15.5875,40,-86.166464,39.744993,93.76805292765299,-5.203555529647403,3.051666593551636,3.46268117957645,84.90975045098199,53.51388927035862,public_source_reconstruction_pending_author_sample_comparison
18-097-0078,15.889814814814814,90,-86.114444,39.810833,94.82333255343967,-5.334333296616872,2.9250000132454765,3.471542414029439,85.29204491509331,55.26666768391927,public_source_reconstruction_pending_author_sample_comparison
18-097-0081,14.731481481481481,90,-86.214628,39.788903,97.50860811869303,-5.215222256713443,3.098444492287106,3.4687736564212375,85.27685334947374,54.272221416897246,public_source_reconstruction_pending_author_sample_comparison
18-097-0083,14.517241379310345,29,-86.12202,39.774979,94.82333255343967,-5.334333296616872,2.9250000132454765,3.471542414029439,85.29204491509331,55.26666768391927,public_source_reconstruction_pending_author_sample_comparison
18-097-0084,13.875862068965516,29,-86.115415,39.758855,94.82333255343967,-5.334333296616872,2.9250000132454765,3.471542414029439,85.29204491509331,55.26666768391927,public_source_reconstruction_pending_author_sample_comparison
18-105-0003,12.382758620689655,29,-86.504762,39.159383,101.45111406114367,-4.2065553161833025,4.359333308537801,3.4245131969451905,84.75219862196181,54.91666683620877,public_source_reconstruction_pending_author_sample_comparison
18-127-0024,11.524157303370787,89,-87.199167,41.6175,56.119996007283525,-6.0582223256429035,1.3637778215938143,3.670929039849175,86.28275502522787,58.0555539449056,public_source_reconstruction_pending_author_sample_comparison
18-141-0015,11.750378787878788,88,-86.214722,41.69666,63.593608898586695,-6.635777799288432,1.3593331072065564,3.625654360983107,87.42337909274632,57.84027854071723,public_source_reconstruction_pending_author_sample_comparison
18-147-0009,16.925925925925927,27,-86.983214,38.167523,111.28805881076389,-2.17377800544103,6.978332991070218,3.4828075965245566,80.95671496921115,54.89166704813639,public_source_reconstruction_pending_author_sample_comparison
18-157-0008,13.180833333333334,90,-86.8525,40.431667,68.23111610412597,-6.51788858572642,2.4378889918327333,3.5446597629123264,86.505238087972,55.74861195882161,public_source_reconstruction_pending_author_sample_comparison
18-163-0016,13.751724137931035,29,-87.532289,37.974436,90.98639335632325,-0.9096666097640991,7.761555788252089,3.5176613410313924,80.34950807359483,55.70555491977268,public_source_reconstruction_pending_author_sample_comparison
18-163-0020,14.489473684210527,19,-87.56783,37.975248,89.69499363369412,-0.8553334501054551,7.783999599350823,3.5202200836605497,81.16565619574652,55.523610560099286,public_source_reconstruction_pending_author_sample_comparison
18-163-0021,15.392000000000001,75,-87.577222,38.013333,95.5202793121338,-1.244333451324039,7.497777544127571,3.520668774180942,81.16565619574652,55.523610560099286,public_source_reconstruction_pending_author_sample_comparison
18-167-0018,13.787222222222221,90,-87.401312,39.485987,98.97527567545573,-5.587777887450324,5.204333276218838,3.5181675407621595,85.17789594862197,54.886110602484806,public_source_reconstruction_pending_author_sample_comparison
18-183-0003,12.351851851851851,27,-85.629292,41.169646,66.96972338358562,-7.414444343249003,0.9423334214422437,3.65798442363739,86.53935250176323,57.044442876180014,public_source_reconstruction_pending_author_sample_comparison
19-013-0008,12.582758620689654,29,-92.344074,42.493042,43.764443418714734,-10.363555659188165,-1.3514445569780138,3.7295398738649155,85.31843134562175,48.94583375718859,public_source_reconstruction_pending_author_sample_comparison
