"dataset","network","task","generator","z_rmse","generator_z_only_hit_rate","generator_mean_nmse"
"georgia",18,"known_network","forest",0.674447394626157,0.867989417989418,0.103900235577342
"meuse",18,"known_network","forest",0.743536029072432,0.911764705882353,0.0600233606369493
"georgia",19,"known_network","forest",0.833481821914432,0.876719576719577,0.0880896776223407
"meuse",19,"known_network","forest",0.793720428261122,0.901960784313726,0.0554408907490019
"georgia",20,"known_network","forest",0.762720492842723,0.915079365079365,0.072665721657137
"meuse",20,"known_network","forest",0.831171416163092,0.872549019607843,0.0661466756657552
"georgia",1,"geographic_transfer","polynomial",1.17309186090035,0.839153439153439,0.122698229658793
"meuse",1,"geographic_transfer","polynomial",1.37461808869426,0.813725490196078,0.214309577269721
"georgia",2,"geographic_transfer","polynomial",1.13845163780535,0.800793650793651,0.103331503069519
"meuse",2,"geographic_transfer","polynomial",1.39265053494779,0.833333333333333,0.249457109172909
"georgia",3,"geographic_transfer","polynomial",1.22863921249254,0.886243386243386,0.12486195533923
"meuse",3,"geographic_transfer","polynomial",1.45452521773149,0.843137254901961,0.229026138346584
"georgia",4,"geographic_transfer","polynomial",1.16505976299775,0.867195767195767,0.113773195286342
"meuse",4,"geographic_transfer","polynomial",1.42564811042871,0.833333333333333,0.249101773369217
"georgia",5,"geographic_transfer","polynomial",1.22863921249254,0.857407407407407,0.130300939344623
"meuse",5,"geographic_transfer","polynomial",1.54035998275478,0.754901960784314,0.300057024081759
"georgia",6,"geographic_transfer","polynomial",1.14837196032865,0.848148148148148,0.110041174642917
"meuse",6,"geographic_transfer","polynomial",1.40997123365774,0.803921568627451,0.251392661745757
"georgia",7,"geographic_transfer","polynomial",1.14977612873247,0.876984126984127,0.104339527497985
"meuse",7,"geographic_transfer","polynomial",1.3932210305207,0.862745098039216,0.21060093743155
"georgia",8,"geographic_transfer","polynomial",1.15456751952837,0.839153439153439,0.113619438931645
"meuse",8,"geographic_transfer","polynomial",1.45452521773149,0.784313725490196,0.236561692375958
"georgia",9,"geographic_transfer","polynomial",1.14134443353454,0.848412698412698,0.114370577651874
"meuse",9,"geographic_transfer","polynomial",1.52766390854858,0.794117647058823,0.335748522825541
"georgia",10,"geographic_transfer","polynomial",1.26091153524298,0.791798941798942,0.154844619974733
"meuse",10,"geographic_transfer","polynomial",1.54035998275478,0.745098039215686,0.323548201655504
"georgia",11,"geographic_transfer","polynomial",1.13578575005486,0.867460317460317,0.109235061280063
"meuse",11,"geographic_transfer","polynomial",1.24042316280248,0.852941176470588,0.18494363392697
