"dataset","cv_scheme","estimator","n","response","rmse","mae","rmse_sd","mae_sd","duration_sec","aicc","logLik","spatial_param","spatial_value","moran_i","moran_abs","moran_p_value","moran_error","n_resamples","n_failed_resamples","fit_error"
"boston_housing","near_prediction","spboost_bspa_sem_ml",100,"CMEDV",5.74220942089317,3.41811972416077,2.59130911025262,1.02671552996253,16.37,11473.6672154021,-5267.52826418958,"lambda",0.703358032447382,-0.121394977633414,0.121394977633414,0.630556802788198,NA,10,0,NA
"boston_housing","near_prediction","random_forest",100,"CMEDV",4.00064673833432,2.46028279071166,1.59464227934653,0.749903523940483,0.579999999999984,NA,NA,NA,NA,-0.119905405183006,0.119905405183006,0.609022427516719,NA,10,0,NA
"boston_housing","near_prediction","xgboost",100,"CMEDV",4.1962576081699,2.6096244726181,1.73291399979292,0.923381541465073,1.11999999999999,NA,NA,NA,NA,-0.124823389231009,0.124823389231009,0.659790928040543,NA,10,0,NA
"ewhp","near_prediction","ols",80,"PurPrice",23852.8655238939,17823.8628133166,8079.8624237193,7123.7066269392,0.27,12099.3199805436,-6038.39963524222,NA,NA,-0.142857142857143,0.142857142857143,0.49999999929941,NA,10,0,NA
"ewhp","near_prediction","gam_spatial",80,"PurPrice",17388.9472492254,13281.2155466329,5700.59617972538,4417.22909082886,0.890000000000001,11856.9151584967,-5897.92851457487,NA,NA,-0.142857142857143,0.142857142857143,0.50000000140118,NA,10,0,NA
"ewhp","near_prediction","sar_lag",0,"PurPrice",NA,NA,NA,NA,6.86,11997.2061811631,-5986.29479018628,"rho",0.431502992040351,NA,NA,NA,NA,10,10,"spatialreg_reg: predict.Sarlm() a echoue; aucune prediction tendance X*beta n'est utilisee en repli. Cause: Rho 0.428776970675221 outside feasible range: Inf:Inf | spatialreg_reg: predict.Sarlm() a echoue; aucune prediction tendance X*beta n'est utilisee en repli. Cause: Rho 0.426690417756308 outside feasible range: Inf:Inf | spatialreg_reg: predict.Sarlm() a echoue; aucune prediction tendance X*beta n'est utilisee en repli. Cause: Rho 0.429088748528845 outside feasible range: Inf:Inf | spatialreg_reg: predict.Sarlm() a echoue; aucune prediction tendance X*beta n'est utilisee en repli. Cause: Rho 0.426568845139567 outside feasible range: Inf:Inf | spatialreg_reg: predict.Sarlm() a echoue; aucune prediction tendance X*beta n'est utilisee en repli. Cause: Rho 0.425982790469176 outside feasible range: Inf:Inf | spatialreg_reg: predict.Sarlm() a echoue; aucune prediction tendance X*beta n'est utilisee en repli. Cause: Rho 0.428820243185444 outside feasible range: Inf:Inf | spatialreg_reg: predict.Sarlm() a echoue; aucune prediction tendance X*beta n'est utilisee en repli. Cause: Rho 0.442743997522162 outside feasible range: Inf:Inf | spatialreg_reg: predict.Sarlm() a echoue; aucune prediction tendance X*beta n'est utilisee en repli. Cause: Rho 0.432104303380773 outside feasible range: Inf:Inf | spatialreg_reg: predict.Sarlm() a echoue; aucune prediction tendance X*beta n'est utilisee en repli. Cause: Rho 0.432980242996187 outside feasible range: Inf:Inf | spatialreg_reg: predict.Sarlm() a echoue; aucune prediction tendance X*beta n'est utilisee en repli. Cause: Rho 0.42814010030832 outside feasible range: Inf:Inf"
"ewhp","near_prediction","sem_error",80,"PurPrice",24971.0106243822,18727.375524639,7770.47627839597,7225.00183876576,7.82,11921.8533456989,-5948.61837245421,"lambda",0.62204985666506,-0.0742033765719475,0.1599936723945,0.400970538349546,NA,10,0,NA
"ewhp","near_prediction","sdm_mixed",80,"PurPrice",30990.7345727548,24280.3785716851,8151.6263314893,6257.86933656901,7.48,11856.6308111016,-5906.38582808603,"rho",0.694884261239624,-0.142857142857143,0.142857142857143,0.571428571428571,NA,10,0,NA
"ewhp","near_prediction","mgwrsar_gwr",80,"PurPrice",20180.9669671603,15800.312608823,6196.75550181121,4885.7572697146,1.59999999999999,NA,NA,NA,NA,-0.142857142857143,0.142857142857143,0.428571428571429,NA,10,0,NA
"ewhp","near_prediction","spboost_bspa_sar_ml",80,"PurPrice",17667.7112421222,13561.5010525921,5920.14273141063,4449.69275199476,4.75000000000001,502072033322.487,-251036016621.32,"rho",0.592069481381635,-0.142857142857143,0.142857142857143,0.499999999399494,NA,10,0,NA
